Brasileiro Série A,Total played,Started,Minutes per game,Team of the week,Goals,Expected Goals (xG),Scoring frequency,Goals per game,Shots per game,Shots on target per game,Big chances missed,Goal conversion,Free kick goals,Free kick conversion,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Penalty won,Assists,Touches,Big chances created,Key passes,Accurate per game,Acc. own half,Acc. opposition half,Acc. long balls,Acc. chipped passes,Acc. crosses,Interceptions per game,Tackles per game,Possession won,Dribbled past per game,Clearances per game,Error led to shot,Error led to goal,Penalties committed,Succ. dribbles,Total duels won,Ground duels won,Aerial duels won,Possession lost,Fouls,Was fouled,Offsides,Yellow,Yellow-Red,Red cards,Nome do Jogador,Nationality,Birth date,Height,Preferred foot,Position,Shirt number,Salary
2022,3 ,0 ,8,0 ,0 ,0.10 ,0 min,0.0,0.3,0.0,0 ,0%,0 ,0%,0 ,0%,0/1 ,0 ,0 ,0 ,0 ,0 ,9.0,0 ,0.0,4.3 (68%),0.7 (67%),3.7 (65%),0.3 (50%),0.0 (0%),0.0 (0%),0.0,0.0,0.7,0.0,0.0,0 ,0 ,0 ,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),3.7,0.0,0.0,0.3,0 ,0 ,Matheus Gonçalves,BRA,17 May 2005,175 cm,Left,M,40,3.1M €

David Luiz,BRA,21 Apr 1987,189 cm,Right,D,23,865K €
Filipe Luís,BRA,8 Aug 1985,181 cm,Left,D,16,380K €
2022,8 ,7 ,73,0 ,0 ,0.12 ,0 min,0.0,0.3,0.1,0 ,0%,0 ,0%,0/2 ,0 ,0 ,0 ,0 ,0 ,59.3,0 ,0.0,48.6 (94%),30.9 (96%),17.8 (89%),1.9 (65%),1.3 (71%),0.0 (0%),1 ,1.0,1.1,0.0,0.5,2.9,0 ,0 ,0 ,0.1 (100%),3.1 (66%),1.8 (67%),1.4 (65%),3.3,0.4,0.5,0.0,0 ,0 ,0 ,Rodrigo Caio,BRA,16 Aug 1993,183 cm,Right,D,3,2.8M €
2022,8 ,7 ,73,0 ,0 ,0.12 ,0 min,0.0,0.3,0.1,0 ,0%,0 ,0%,0/2 ,0 ,0 ,0 ,0 ,0 ,59.3,0 ,0.0,48.6 (94%),30.9 (96%),17.8 (89%),1.9 (65%),1.3 (71%),0.0 (0%),1 ,1.0,1.1,0.0,0.5,2.9,0 ,0 ,0 ,0.1 (100%),3.1 (66%),1.8 (67%),1.4 (65%),3.3,0.4,0.5,0.0,0 ,0 ,0 ,Rodrigo Caio,BRA,16 Aug 1993,183 cm,Right,D,3,2.8M €

2022,31 ,28 ,83,0 ,2 ,1.61 ,1280 min,0.1,0.7,0.3,0 ,9%,0 ,0%,0 ,0%,1/10 ,1/12 ,0 ,1 ,1 ,0 ,6 ,67.4,5 ,0.9,35.7 (84%),15.9 (86%),20.1 (77%),1.5 (39%),0.9 (38%),0.2 (11%),8 ,0.9,2.0,0.2,0.8,1.5,1 ,0 ,0 ,1.2 (49%),5.6 (52%),4.7 (51%),0.9 (58%),13.6,1.4,1.5,0.0,Ayrton Lucas,BRA,18 Jun 1997,180 cm,Left,D,6,5.6M €
Guillermo Varela,URU,23 Mar 1993,171 cm,Right,D,2,2.1M €
2022,13 ,11 ,85,1 ,0 ,0.70 ,0 min,0.0,0.6,0.2,0 ,0%,0/2 ,0%,0/6 ,0/2 ,0 ,0 ,0 ,0 ,1 ,78.2,2 ,0.5,62.5 (91%),34.3 (93%),28.3 (87%),4.1 (60%),2.9 (57%),0.2 (33%),3 ,0.8,1.0,0.0,0.6,1.7,0 ,0 ,1 ,0.2 (67%),3.6 (58%),1.8 (49%),1.8 (71%),7.6,1.2,0.6,0.2,4 ,0 ,Léo Pereira,BRA,30 Jan 1996,189 cm,Left,D,4,3.7M €
2022,13 ,13 ,90,1 ,2 ,0.83 ,585 min,0.2,0.4,0.2,0 ,40%,0 ,0%,2/5 ,0 ,2 ,0 ,0 ,0 ,1 ,66.9,1 ,0.2,52.8 (90%),35.5 (95%),17.5 (81%),4.8 (63%),2.1 (44%),0.2 (100%),4 ,0.8,1.0,0.0,0.4,3.9,0 ,0 ,0 ,0.1 (100%),3.8 (60%),1.8 (64%),2.1 (57%),6.1,0.6,0.7,0.0,5 ,0 ,Fabrício Bruno,BRA,11 Feb 1996,192 cm,Right,D,15,3.8M €
2022,23 ,22 ,85,1 ,0 ,1.21 ,0 min,0.0,0.7,0.1,2 ,0%,0 ,0%,0 ,0%,0/17 ,0 ,0 ,0 ,0 ,0 ,62.8,1 ,0.1,46.3 (90%),32.8 (94%),13.5 (81%),3.1 (63%),2.1 (57%),0.0 (0%),7 ,1.5,1.2,0.0,0.3,4.5,2 ,0 ,0 ,0.3 (100%),4.1 (62%),1.7 (53%),2.5 (70%),6.1,1.3,0.2,0.0,5 ,Pablo,BRA,20 Jun 1991,188 cm,Right,D,30,3.3M €
2022,1 ,0 ,1,0 ,0 ,0 min,0.0,0.0,0.0,0 ,0%,0 ,0%,0 ,0%,0 ,0 ,0 ,0 ,0 ,0 ,6.0,0 ,1.0,4.0 (67%),2.0 (67%),2.0 (67%),1.0 (100%),0.0 (0%),0.0 (0%),0 ,0.0,0.0,0.0,0.0,0.0,0 ,0 ,0 ,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),2.0,0.0,0.0,0.0,0 ,0 ,Gabriel Noga,BRA,24 Jan 2002,183 cm,Right,D,14,2.1M €
2022,1 ,0 ,1,0 ,0 ,0 min,0.0,0.0,0.0,0 ,0%,0 ,0%,0 ,0%,0 ,0 ,0 ,0 ,0 ,0 ,6.0,0 ,1.0,4.0 (67%),2.0 (67%),2.0 (67%),1.0 (100%),0.0 (0%),0.0 (0%),0 ,0.0,0.0,0.0,0.0,0.0,0 ,0 ,0 ,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),2.0,0.0,0.0,0.0,0 ,0 ,Gabriel Noga,BRA,24 Jan 2002,183 cm,Right,D,14,2.1M €

2022,1 ,0 ,1,0 ,0 ,0 min,0.0,0.0,0.0,0 ,0%,0 ,0%,0 ,0%,0 ,0 ,0 ,0 ,0 ,0 ,6.0,0 ,1.0,4.0 (67%),2.0 (67%),2.0 (67%),1.0 (100%),0.0 (0%),0.0 (0%),0 ,0.0,0.0,0.0,0.0,0.0,0 ,0 ,0 ,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),2.0,0.0,0.0,0.0,0 ,0 ,Gabriel Noga,BRA,24 Jan 2002,183 cm,Right,D,14,2.1M €

2022,19 ,19 ,90,1 ,0.7,0/2 ,3.0 (80%),0.1 (100%),14 ,12 ,2 ,57 ,29 ,28 ,1 ,4 ,0 ,0 min,0.0,0.0,0.0,0 ,0%,0 ,0%,0 ,0%,0 ,0 ,0 ,0 ,0 ,0 ,34.9,0 ,0.1,17.6 (73%),15.7 (88%),1.8 (29%),3.6 (36%),1.6 (35%),0.0 (0%),8 ,0.0,0.0,0.0,0.0,1.1,0 ,Santos,BRA,16 Mar 1990,188 cm,Right,G,1,3.2M €
2022,15 ,14 ,86,0 ,1.1,0/2 ,2.4 (68%),0.4 (100%),17 ,15 ,2 ,36 ,21 ,15 ,0 ,12 ,0 ,0 min,0.0,0.0,0.0,0 ,0%,0 ,0%,0 ,0%,0 ,0 ,0 ,0 ,0 ,0 ,26.8,0 ,0.0,14.5 (77%),13.3 (92%),1.1 (27%),3.1 (44%),1.4 (57%),0.0 (0%),2 ,0.1,0.1,0.0,0.1,0.8,0 ,Hugo Souza,BRA,30 Jan 1999,199 cm,Right,G,45,3.4M €
Matheus Cunha,BRA,23 May 2001,193 cm,Right,G,25,145K €
Matheus Cunha,BRA,23 May 2001,193 cm,Right,G,25,145K €

Matheus Cunha,BRA,23 May 2001,193 cm,Right,G,25,145K €
Gabriel Barbosa,BRA,29 Aug 1996,178 cm,Left,F,10,23M €
Gabriel Barbosa,BRA,29 Aug 1996,178 cm,Left,F,10,23M €

